Price_Total,Area,Price_Meter,Rooms,Floor_Live,Floor_Total,Zone,Neighborhood,Distance,Time
121647115,116.6,1043107,3,7,13,ЗАО,Дорогомилово,6.9,15.0
121450000,138.5,876895,4,19,21,ЦАО,Пресненский район,4.7,11.0
121400000,140.9,861604,4,15,21,ЦАО,Пресненский район,4.6,11.0
121254265,143.1,847339,5,19,19,ЮЗАО,Академический район,8.0,2.0
121110000,161.7,748980,4,14,21,ЦАО,Пресненский район,4.6,11.0
120970000,146.0,828562,4,16,23,ЦАО,Пресненский район,4.7,11.0
120960000,161.5,748978,4,14,21,ЦАО,Пресненский район,4.6,11.0
120715386,101.9,1184994,3,4,10,ЗАО,Дорогомилово,7.1,15.0
120680000,147.3,819280,4,13,21,ЦАО,Пресненский район,4.6,11.0
120640000,169.2,713002,3,14,14,ЗАО,Раменки,9.0,22.0
120570000,157.6,765038,4,9,21,ЦАО,Пресненский район,4.7,11.0
120420000,144.3,834511,4,10,23,ЦАО,Пресненский район,4.7,11.0
120363000,89.5,1344838,2,17,18,ЦАО,Хамовники,3.0,14.0
120070000,161.6,743007,4,8,23,ЦАО,Пресненский район,4.8,11.0
119976240,151.6,791400,4,2,9,СЗАО,Хорошёво-Мнёвники,10.5,9.0
119910000,49.7,2414619,0,2,4,ЦАО,Тверской район,0.0,3.0
119897500,120.5,995000,2,19,21,ЦАО,Пресненский район,4.2,7.0
119897500,120.5,995000,2,19,21,ЦАО,Пресненский район,4.3,9.0
119410000,162.0,737099,4,13,21,ЦАО,Пресненский район,4.6,11.0
119410000,162.0,737099,4,13,21,ЦАО,Пресненский район,4.6,11.0
119240000,146.0,816712,4,15,23,ЦАО,Пресненский район,4.7,11.0
119100000,157.6,755711,4,8,21,ЦАО,Пресненский район,4.7,11.0
118949567,124.0,959271,2,8,13,ЦАО,Арбат,0.0,10.0
118917046,150.9,788052,4,28,32,ЮАО,Даниловский район,0.0,11.0
118827136,116.6,1018751,3,6,13,ЗАО,Дорогомилово,6.9,15.0
118440000,157.6,751523,4,7,21,ЦАО,Пресненский район,4.7,11.0
118400000,45.6,2597631,0,1,5,ЦАО,Тверской район,0.0,3.0
118180000,147.3,802308,4,11,21,ЦАО,Пресненский район,4.6,11.0
118170000,162.0,729444,4,12,21,ЦАО,Пресненский район,4.6,11.0
